term_status,section,title,instructor,schedule,term
24FOpen,GEOS 6381.501,Geographic Information Systems Fundamentals  (3 Semester Credit Hours),Yongwan Chun,Monday 7:00pm - 9:45pm GR 3.402A Monday 7:00pm - 9:45pm GR 3.402B,24f
24FOpen,GEOS 7110.001,Workshop in Environmental Geosciences  (1 Semester Credit Hour),Tom Brikowski,Friday 1:00pm - 1:50pm ROC 1.210,24f
24FOpen,GEOS 7190.001,Workshop in Seismology  (1 Semester Credit Hour),David Lumley,Tuesday 4:30pm - 5:30pm ROC 2.103,24f
24FOpen,GEOS 7v00.001,Research and Literature Seminar  (1 Semester Credit Hour),Robert Stern,Seminar Friday 2:00pm - 3:00pm ROC 1.210,24f
25SOpen,GEOS 5101.092,Internship in Geosciences  (1 Semester Credit Hour),Robert Stern,Internship,25s
25SOpen,GEOS 5305.001,Petroleum Geosciences  (3 Semester Credit Hours),Lowell Waite,Wednesday 2:30pm - 5:15pm ROC 2.701,25s
25SOpen,GEOS 5314.001,Climate Change Resilience and Adaptation  (3 Semester Credit Hours),Tom Brikowski,Tuesday 10:00am - 12:45pm ROC 2.701,25s
25SOpen,GEOS 5375.0w1,Tectonics  (3 Semester Credit Hours),Robert Stern,Monday & Wednesday 11:30am - 12:45pm No Meeting Room,25s
25SOpen,GEOS 5442.001,Advanced Sedimentary Petrography  (4 Credits),"Kristina Butler,Zachary Sickmann",Combined Lec/Lab w/Fee Tuesday & Thursday 2:30pm - 3:45pm ROC 1.210 Friday 9:00am - 11:45am SLC 1.206,25s
25SOpen,GEOS 6381.0w1,Geographic Information Systems Fundamentals  (3 Semester Credit Hours),Yongwan Chun,No Meeting Room,25s
25SOpen,GEOS 6381.501,Geographic Information Systems Fundamentals  (3 Semester Credit Hours),Yongwan Chun,Monday 7:00pm - 9:45pm GR 3.206,25s
25SOpen,GEOS 6383.001,Applied Geographic Information Systems  - GIS for Real Estate (3 Semester Credit Hours),John Fell,Friday 10:00am - 12:45pm GR 3.206,25s
25SOpen,GEOS 6384.001,Advanced Geographic Information Systems  (3 Semester Credit Hours),Fang Qiu,Tuesday 4:00pm - 6:45pm GR 3.402A,25s
25SOpen,GEOS 6384.0w1,Advanced Geographic Information Systems  (3 Semester Credit Hours),Fang Qiu,No Meeting Room,25s
25SCancelled,GEOS 7110.001,Workshop in Environmental Geosciences  (1 Semester Credit Hour),-Staff-,,25s
25SOpen,GEOS 7190.001,Workshop in Seismology  (1 Semester Credit Hour),David Lumley,Tuesday 4:30pm - 5:30pm ROC 2.103,25s
25SOpen,GEOS 7v00.001,Research and Literature Seminar  (1 Semester Credit Hour),Robert Stern,Seminar Friday 2:00pm - 3:00pm ROC 2.103,25s
25SOpen,GEOS 8399.024,Dissertation  (3 Semester Credit Hours),David Lumley,Dissertation,25s
25SOpen,GEOS 8v80.024,Research in Geophysics  (1-9 Credits),David Lumley,Research,25s
25SOpen,GEOS 8v90.024,Research in Seismology  (1-9 Credits),David Lumley,Research,25s
25UOpen,GEOS 5101.0u1,Internship in Geosciences  (1 Semester Credit Hour),-Staff-,Internship,25u
25UOpen,GEOS 6387.5u1,Geospatial Sciences Workshop  (3 Semester Credit Hours),Americo Gamarra,Monday 6:00pm - 9:45pm AD 3.214,25u
25UOpen,GEOS 6398.024,Thesis  (3 Semester Credit Hours),David Lumley,Master's Thesis,25u
25UOpen,GEOS 8v10.028,Research in Hydrogeology-Environmental Geosciences  (1-9 Credits),David Hyndman,Research,25u
25UOpen,GEOS 8v21.011,Research in Remote Sensing  GIS and GPS  (1-9 Credits),Yujie Zheng,Research,25u
25UOpen,GEOS 8v50.004,Research in Geochemistry  (1-9 Credits),Kristina Butler,Research,25u
25UOpen,GEOS 8v80.010,Research in Geophysics  (1-9 Credits),Nadine Igonin,Research,25u
25UOpen,GEOS 8v80.011,Research in Geophysics  (1-9 Credits),Yujie Zheng,Research,25u
25UOpen,GEOS 8v90.010,Research in Seismology  (1-9 Credits),Nadine Igonin,Research,25u
25FOpen,GEOS 5000.001,SESS Graduate Seminar  (0 Semester Credit Hours),Zachary Sickmann,Seminar Thursday 4:00pm - 4:50pm ROC 2.103,25f
25FOpen,GEOS 5300.001,Special Topics in Earth Sciences  - Physical Climate Science (3 Semester Credit Hours),Xian Wu,Monday & Wednesday 10:00am - 11:15am ROC 2.701,25f
25FOpen,GEOS 5300.002,Special Topics in Earth Sciences  - Critical Zone Biogeochemistry (3 Semester Credit Hours),Qian Zhao,Tuesday & Thursday 10:00am - 11:15am ROC 1.210,25f
25FOpen,GEOS 5302.001,Geochemistry  (3 Semester Credit Hours),Kristina Butler,Tuesday & Thursday 2:30pm - 3:45pm ROC 2.103 Friday 10:00am - 12:45pm ROC 2.701,25f
