term_status,section,title,instructor,schedule,term
24SOpen,ACCT 6202.501,Accounting for Managerial Decision Making and Control  (2 Semester Credit Hours),Zhonglan Dai,Wednesday 5:00pm - 6:50pm JSOM 1.217,24s
24SOpen,ACCT 6301.0w1,Financial Accounting  (3 Semester Credit Hours),Ashiq Ali,No Meeting Room,24s
24SOpen,ACCT 6301.501,Financial Accounting  (3 Semester Credit Hours),Gregory Ballew,Thursday 7:00pm - 9:45pm JSOM 2.106,24s
24SOpen,ACCT 6305.001,Accounting for Managers  (3 Semester Credit Hours),Tae Wook Kim,Wednesday 1:00pm - 3:45pm JSOM 2.801,24s
24SOpen,ACCT 6305.002,Accounting for Managers  (3 Semester Credit Hours),Tae Wook Kim,Monday 1:00pm - 3:45pm JSOM 2.903,24s
24SOpen,ACCT 6305.501,Accounting for Managers  (3 Semester Credit Hours),Tae Wook Kim,Tuesday 7:00pm - 9:45pm JSOM 2.904,24s
24SFull,ACCT 6309.001,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,Thursday 1:00pm - 3:45pm JSOM 2.722,24s
24SOpen,ACCT 6309.0w1,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,No Meeting Room,24s
24SOpen,ACCT 6309.501,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,Tuesday 7:00pm - 9:45pm JSOM 2.722,24s
24SOpen,ACCT 6309.502,Business Data Warehousing  (3 Semester Credit Hours),Wael Damra,Friday 7:00pm - 9:45pm JSOM 1.107,24s
24SOpen,ACCT 6313.001,Cybersecurity Fundamentals  (3 Semester Credit Hours),Mohammad Islam,Friday 4:00pm - 6:45pm JSOM 2.103,24s
24SOpen,ACCT 6313.0w1,Cybersecurity Fundamentals  (3 Semester Credit Hours),Huseyin Cavusoglu,No Meeting Room,24s
24SOpen,ACCT 6313.501,Cybersecurity Fundamentals  (3 Semester Credit Hours),Alex Ivaschenko,Friday 7:00pm - 9:45pm JSOM 12.202,24s
24SOpen,ACCT 6320.0w1,Database Foundations  (3 Semester Credit Hours),Huseyin Cavusoglu,No Meeting Room,24s
24SOpen,ACCT 6330.501,Intermediate Financial Accounting I  (3 Semester Credit Hours),William Cready,Thursday 7:00pm - 9:45pm JSOM 2.112,24s
24SOpen,ACCT 6331.5w1,Cost Accounting  Foundations and Evolutions  (3 Semester Credit Hours),Surya Janakiraman,Wednesday 7:00pm - 9:45pm No Meeting Room,24s
24SOpen,ACCT 6332.5w1,Intermediate Financial Accounting II  (3 Semester Credit Hours),Kathy Zolton,Monday & Wednesday 5:30pm - 6:45pm No Meeting Room,24s
24SOpen,ACCT 6333.501,Advanced Financial Reporting  (3 Semester Credit Hours),Kathy Zolton,Monday 7:00pm - 9:45pm JSOM 11.202,24s
24SOpen,ACCT 6335.0w1,Ethics for Professional Accountants  (3 Semester Credit Hours),Tiffany Bortz,No Meeting Room,24s
24SOpen,ACCT 6336.001,Information Technology Audit and Risk Management  (3 Semester Credit Hours),Joseph Mauriello,Thursday 4:00pm - 6:45pm JSOM 12.210,24s
24SOpen,ACCT 6338.0w1,Accounting Systems Integration and Configuration  (3 Semester Credit Hours),Mary Beth Goodrich,No Meeting Room,24s
24SFull,ACCT 6340.001,System Analysis and Project Management  (3 Semester Credit Hours),K. Srikanth,Monday 4:00pm - 6:45pm JSOM 11.210,24s
24SFull,ACCT 6340.003,System Analysis and Project Management  (3 Semester Credit Hours),Sriram Sivaramakrishnan,Monday & Wednesday 8:30am - 9:45am JSOM 12.210,24s
24SOpen,ACCT 6340.004,System Analysis and Project Management  (3 Semester Credit Hours),Sunela Thomas,Friday 10:00am - 12:45pm JSOM 12.214,24s
24SOpen,ACCT 6340.005,System Analysis and Project Management  (3 Semester Credit Hours),Sunela Thomas,Wednesday 1:00pm - 3:45pm JSOM 11.206,24s
24SOpen,ACCT 6340.0w1,System Analysis and Project Management  (3 Semester Credit Hours),Srinivasan Raghunathan,No Meeting Room,24s
24SOpen,ACCT 6344.501,Financial Statement Analysis  (3 Semester Credit Hours),Steven Solcher,Tuesday 7:00pm - 9:45pm JSOM 12.218,24s
24SOpen,ACCT 6349.001,Managing Digital Strategy  (3 Semester Credit Hours),Vasant Gondhalekar,Wednesday 4:00pm - 6:45pm SOM 1.102,24s
24SOpen,ACCT 6349.0w1,Managing Digital Strategy  (3 Semester Credit Hours),May Alkhudari,Saturday 9:00am - 11:45am No Meeting Room,24s
24SOpen,ACCT 6353.501,Fundamentals of Taxation II  (3 Semester Credit Hours),John Gamino,Tuesday 7:00pm - 9:45pm SOM 1.102,24s
24SOpen,ACCT 6374.501,Advanced Data Analytics for Accountants and Auditors  (3 Semester Credit Hours),Joseph Mauriello,Thursday 7:00pm - 9:45pm JSOM 11.206,24s
24SOpen,ACCT 6380.501,Internal Audit  (3 Semester Credit Hours),Joseph Mauriello,Wednesday 7:00pm - 9:45pm JSOM 2.107,24s
24SOpen,ACCT 6384.501,Analytical Reviews Using Audit Software  (3 Semester Credit Hours),Jeffrey Kromer,Monday 7:00pm - 9:45pm JSOM 2.901,24s
24SOpen,ACCT 6392.501,Advanced Auditing  (3 Semester Credit Hours),Joseph Mauriello,Tuesday 7:00pm - 9:45pm JSOM 2.901,24s
24SOpen,ACCT 7314.001,Research on Financial Reporting  (3 Semester Credit Hours),Ashiq Ali,Thursday 10:00am - 12:45pm JSOM 14.501,24s
24UOpen,ACCT 6202.0w1,Accounting for Managerial Decision Making and Control  (2 Semester Credit Hours),Surya Janakiraman,No Meeting Room,24u
24UOpen,ACCT 6301.5u1,Financial Accounting  (3 Semester Credit Hours),Steven Solcher,Wednesday 6:00pm - 10:00pm SOM 1.102,24u
24UOpen,ACCT 6305.0w1,Accounting for Managers  (3 Semester Credit Hours),Surya Janakiraman,No Meeting Room,24u
24UOpen,ACCT 6313.5u1,Cybersecurity Fundamentals  (3 Semester Credit Hours),Tejas Shroff,Tuesday 6:00pm - 9:45pm JSOM 2.717,24u
24UOpen,ACCT 6338.0w1,Accounting Systems Integration and Configuration  (3 Semester Credit Hours),Mary Beth Goodrich,No Meeting Room,24u
24UOpen,ACCT 6340.0w1,System Analysis and Project Management  (3 Semester Credit Hours),Srinivasan Raghunathan,No Meeting Room,24u
24UOpen,ACCT 6340.5u1,System Analysis and Project Management  (3 Semester Credit Hours),Sriram Sivaramakrishnan,Tuesday 6:00pm - 9:45pm JSOM 1.217,24u
24UOpen,ACCT 6344.0w1,Financial Statement Analysis  (3 Semester Credit Hours),Umit Gurun,No Meeting Room,24u
24UOpen,ACCT 6365.5u1,Governmental and Not-For-Profit Accounting  (3 Semester Credit Hours),Samuel Cheng,Thursday 6:00pm - 10:30pm JSOM 11.210,24u
24UOpen,ACCT 6367.5u1,Multijurisdictional Taxation  (3 Semester Credit Hours),"John Gamino,Sandy Frost",Monday 6:00pm - 10:00pm SOM 1.102,24u
24UOpen,ACCT 6377.5u1,Corporate Governance  (3 Semester Credit Hours),Gregory Ballew,Wednesday 6:00pm - 10:00pm JSOM 2.106,24u
24UOpen,ACCT 6384.0w1,Analytical Reviews Using Audit Software  (3 Semester Credit Hours),Jeffrey Kromer,No Meeting Room,24u
24UFull,ACCT 6392.5u1,Advanced Auditing  (3 Semester Credit Hours),Christopher Hes,Tuesday 6:00pm - 9:45pm JSOM 1.117,24u
24FOpen,ACCT 6202.0w1,Accounting for Managerial Decision Making and Control  (2 Semester Credit Hours),Surya Janakiraman,No Meeting Room,24f
24FOpen,ACCT 6292.0w1,Professional Accounting - Audit  (2 Semester Credit Hours),Kathy Zolton,No Meeting Room,24f
24FOpen,ACCT 6293.0w1,Professional Accounting - Regulation  (2 Semester Credit Hours),Steven Solcher,No Meeting Room,24f
24FOpen,ACCT 6301.001,Financial Accounting  (3 Semester Credit Hours),Ningzhong Li,Wednesday 10:00am - 12:45pm JSOM 2.106,24f
24FOpen,ACCT 6301.0w1,Financial Accounting  (3 Semester Credit Hours),Ashiq Ali,No Meeting Room,24f
24FOpen,ACCT 6301.501,Financial Accounting  (3 Semester Credit Hours),Gregory Ballew,Tuesday 7:00pm - 9:45pm JSOM 2.717,24f
24FOpen,ACCT 6305.002,Accounting for Managers  (3 Semester Credit Hours),Ningzhong Li,Tuesday 10:00am - 12:45pm JSOM 1.212,24f
24FOpen,ACCT 6305.501,Accounting for Managers  (3 Semester Credit Hours),Ningzhong Li,Wednesday 7:00pm - 9:45pm JSOM 11.202,24f
24FOpen,ACCT 6309.001,Business Data Warehousing  (3 Semester Credit Hours),Atanu Lahiri,Friday 4:00pm - 6:45pm SOM 1.102,24f
24FOpen,ACCT 6309.002,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,Wednesday 4:00pm - 6:45pm JSOM 2.717,24f
24FOpen,ACCT 6309.0w2,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,No Meeting Room,24f
24FOpen,ACCT 6309.501,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,Thursday 7:00pm - 9:45pm JSOM 2.722,24f
24FOpen,ACCT 6309.503,Business Data Warehousing  (3 Semester Credit Hours),Antonio Paes,Wednesday 7:00pm - 9:45pm JSOM 12.218,24f
24FOpen,ACCT 6313.001,Cybersecurity Fundamentals  (3 Semester Credit Hours),Atanu Lahiri,Monday 4:00pm - 6:45pm JSOM 2.714,24f
24FOpen,ACCT 6313.501,Cybersecurity Fundamentals  (3 Semester Credit Hours),Atanu Lahiri,Monday 7:00pm - 9:45pm JSOM 1.110,24f
24FOpen,ACCT 6313.502,Cybersecurity Fundamentals  (3 Semester Credit Hours),Alex Ivaschenko,Friday 7:00pm - 9:45pm JSOM 2.103,24f
24FOpen,ACCT 6320.0w1,Database Foundations  (3 Semester Credit Hours),Huseyin Cavusoglu,No Meeting Room,24f
24FFull,ACCT 6330.501,Intermediate Financial Accounting I  (3 Semester Credit Hours),William Cready,Thursday 7:00pm - 9:45pm JSOM 12.218,24f
24FOpen,ACCT 6331.501,Cost Accounting with Integrated Data Analytics  (3 Semester Credit Hours),Surya Janakiraman,Monday 7:00pm - 9:45pm JSOM 12.210,24f
24FOpen,ACCT 6332.5w1,Intermediate Financial Accounting II  (3 Semester Credit Hours),Kathy Zolton,Monday & Wednesday 5:30pm - 6:45pm No Meeting Room,24f
24FOpen,ACCT 6333.501,Advanced Financial Reporting  (3 Semester Credit Hours),Kathy Zolton,Monday 7:00pm - 9:45pm JSOM 11.210,24f
24FOpen,ACCT 6334.0w1,Auditing  (3 Semester Credit Hours),Chris Linsteadt,No Meeting Room,24f
24FOpen,ACCT 6335.0w1,Ethics for Professional Accountants  (3 Semester Credit Hours),Tiffany Bortz,No Meeting Room,24f
24FOpen,ACCT 6336.501,Information Technology Audit and Risk Management  (3 Semester Credit Hours),Joseph Mauriello,Thursday 7:00pm - 9:45pm JSOM 2.116,24f
24FFull,ACCT 6340.001,System Analysis and Project Management  (3 Semester Credit Hours),K. Srikanth,Monday 1:00pm - 3:45pm JSOM 1.107,24f
24FFull,ACCT 6340.002,System Analysis and Project Management  (3 Semester Credit Hours),Srinivasan Raghunathan,Tuesday 10:00am - 12:45pm JSOM 1.517,24f
24FOpen,ACCT 6340.003,System Analysis and Project Management  (3 Semester Credit Hours),Byron Purdy,Friday 4:00pm - 6:45pm JSOM 12.222,24f
24FFull,ACCT 6340.004,System Analysis and Project Management  (3 Semester Credit Hours),Sriram Sivaramakrishnan,Monday & Wednesday 8:30am - 9:45am JSOM 2.106,24f
24FFull,ACCT 6340.0w1,System Analysis and Project Management  (3 Semester Credit Hours),Srinivasan Raghunathan,No Meeting Room,24f
24FOpen,ACCT 6340.501,System Analysis and Project Management  (3 Semester Credit Hours),Zivan Ezhil,Tuesday 7:00pm - 9:45pm JSOM 1.117,24f
24FOpen,ACCT 6341.0w1,Planning  Control and Performance Evaluation  (3 Semester Credit Hours),Mary Beth Goodrich,Tuesday 4:00pm - 6:45pm No Meeting Room,24f
24FFull,ACCT 6344.0w1,Financial Statement Analysis  (3 Semester Credit Hours),Umit Gurun,No Meeting Room,24f
24FFull,ACCT 6344.ppa,Financial Statement Analysis  (3 Semester Credit Hours),Umit Gurun,Monday & Wednesday 1:00pm - 3:45pm JSOM 2.717,24f
24FOpen,ACCT 6345.5w1,Business Valuation  (3 Semester Credit Hours),Surya Janakiraman,Thursday 7:00pm - 9:45pm No Meeting Room,24f
24FOpen,ACCT 6349.001,Managing Digital Strategy  (3 Semester Credit Hours),Vasant Gondhalekar,Monday 4:00pm - 6:45pm JSOM 2.103,24f
24FOpen,ACCT 6350.501,Fundamentals of Taxation I  (3 Semester Credit Hours),Steven Solcher,Tuesday 7:00pm - 9:45pm JSOM 2.804,24f
24FOpen,ACCT 6353.501,Fundamentals of Taxation II  (3 Semester Credit Hours),Steven Solcher,Wednesday 7:00pm - 9:45pm JSOM 11.206,24f
24FOpen,ACCT 6354.501,Taxation and Planning of Pass-through Entities  (3 Semester Credit Hours),Dave Hanna,Monday 7:00pm - 9:45pm JSOM 2.112,24f
24FOpen,ACCT 6374.0w1,Advanced Data Analytics for Accountants and Auditors  (3 Semester Credit Hours),Joseph Mauriello,Thursday 4:00pm - 6:45pm No Meeting Room,24f
24FOpen,ACCT 6380.501,Internal Audit  (3 Semester Credit Hours),Joseph Mauriello,Wednesday 7:00pm - 9:45pm JSOM 2.901,24f
24FOpen,ACCT 6383.501,Fraud Examination  (3 Semester Credit Hours),Dana Bracy,Tuesday 7:00pm - 9:45pm JSOM 2.801,24f
24FFull,ACCT 6386.001,Governance  Risk Management and Compliance  (3 Semester Credit Hours),Joseph Mauriello,Tuesday 4:00pm - 6:45pm JSOM 12.214,24f
24FOpen,ACCT 6392.501,Advanced Auditing  (3 Semester Credit Hours),Joseph Mauriello,Tuesday 7:00pm - 9:45pm JSOM 12.214,24f
24FOpen,ACCT 7210.001,PhD Workshop Series  (2 Semester Credit Hours),Stanimir Markov,Friday 10:00am - 11:50am JSOM 2.901,24f
24FOpen,ACCT 7323.001,Foundations of Accounting Research  (3 Semester Credit Hours),"Suresh Radhakrishnan,William Cready",Monday 1:00pm - 3:45pm JSOM 1.801,24f
25SOpen,ACCT 6202.501,Accounting for Managerial Decision Making and Control  (2 Semester Credit Hours),Kathy Zolton,Wednesday 7:00pm - 8:50pm JSOM 2.115,25s
25SOpen,ACCT 6301.501,Financial Accounting  (3 Semester Credit Hours),Ashiq Ali,Thursday 7:00pm - 9:45pm JSOM 2.106,25s
25SOpen,ACCT 6301.5w1,Financial Accounting  (3 Semester Credit Hours),Steven Solcher,Monday 7:00pm - 9:45pm No Meeting Room,25s
25SOpen,ACCT 6305.001,Accounting for Managers  (3 Semester Credit Hours),Maria Loumioti,Tuesday 10:00am - 12:45pm JSOM 2.804,25s
25SOpen,ACCT 6305.002,Accounting for Managers  (3 Semester Credit Hours),Maria Loumioti,Monday 1:00pm - 3:45pm JSOM 2.903,25s
25SOpen,ACCT 6305.501,Accounting for Managers  (3 Semester Credit Hours),Maria Loumioti,Tuesday 7:00pm - 9:45pm JSOM 2.904,25s
25SOpen,ACCT 6309.001,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,Thursday 1:00pm - 3:45pm JSOM 2.722,25s
25SOpen,ACCT 6309.0w1,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,No Meeting Room,25s
25SOpen,ACCT 6309.501,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,Tuesday 7:00pm - 9:45pm JSOM 2.722,25s
25SOpen,ACCT 6313.0w1,Cybersecurity Fundamentals  (3 Semester Credit Hours),Huseyin Cavusoglu,No Meeting Room,25s
25SOpen,ACCT 6313.501,Cybersecurity Fundamentals  (3 Semester Credit Hours),Alex Ivaschenko,Friday 7:00pm - 9:45pm JSOM 12.206,25s
25SOpen,ACCT 6320.0w1,Database Foundations  (3 Semester Credit Hours),Huseyin Cavusoglu,No Meeting Room,25s
25SOpen,ACCT 6330.0w1,Intermediate Financial Accounting I  (3 Semester Credit Hours),William Cready,No Meeting Room,25s
25SOpen,ACCT 6331.5w1,Cost Accounting with Integrated Data Analytics  (3 Semester Credit Hours),Surya Janakiraman,Wednesday 7:00pm - 9:45pm No Meeting Room,25s
25SOpen,ACCT 6332.501,Intermediate Financial Accounting II  (3 Semester Credit Hours),Kathy Zolton,Monday 7:00pm - 9:45pm JSOM 2.901,25s
25SOpen,ACCT 6333.0w1,Advanced Financial Reporting  (3 Semester Credit Hours),Kathy Zolton,Tuesday 4:00pm - 6:45pm No Meeting Room,25s
25SFull,ACCT 6335.0w1,Ethics for Professional Accountants  (3 Semester Credit Hours),Tiffany Bortz,No Meeting Room,25s
25SOpen,ACCT 6336.001,Information Technology Audit and Risk Management  (3 Semester Credit Hours),Joseph Mauriello,Thursday 4:00pm - 6:45pm JSOM 1.212,25s
25SOpen,ACCT 6338.0w1,Advanced Accounting Systems Integration and Configuration  (3 Semester Credit Hours),Mary Beth Goodrich,No Meeting Room,25s
25SFull,ACCT 6340.001,System Analysis and Project Management  (3 Semester Credit Hours),K. Srikanth,Monday 4:00pm - 6:45pm JSOM 11.210,25s
25SOpen,ACCT 6340.002,System Analysis and Project Management  (3 Semester Credit Hours),Jeffrey Baker,Wednesday 1:00pm - 3:45pm JSOM 11.206,25s
25SOpen,ACCT 6340.004,System Analysis and Project Management  (3 Semester Credit Hours),Jeffrey Baker,Friday 10:00am - 12:45pm JSOM 12.214,25s
25SOpen,ACCT 6340.0w1,System Analysis and Project Management  (3 Semester Credit Hours),Srinivasan Raghunathan,No Meeting Room,25s
25SOpen,ACCT 6344.0w1,Financial Statement Analysis  (3 Semester Credit Hours),Umit Gurun,No Meeting Room,25s
25SOpen,ACCT 6349.0w1,Managing Digital Strategy  (3 Semester Credit Hours),Sumit Majumdar,No Meeting Room,25s
25SOpen,ACCT 6350.501,Fundamentals of Taxation I  (3 Semester Credit Hours),Sandy Frost,Tuesday 7:00pm - 9:45pm JSOM 11.202,25s
25SOpen,ACCT 6353.501,Fundamentals of Taxation II  (3 Semester Credit Hours),Steven Solcher,Tuesday 7:00pm - 9:45pm JSOM 12.218,25s
25SOpen,ACCT 6356.501,Tax Research  (3 Semester Credit Hours),John Gamino,Monday 7:00pm - 9:45pm JSOM 2.116,25s
25SFull,ACCT 6374.501,Advanced Data Analytics for Accountants and Auditors  (3 Semester Credit Hours),Joseph Mauriello,Thursday 7:00pm - 9:45pm JSOM 1.107,25s
25SOpen,ACCT 6380.501,Internal Audit  (3 Semester Credit Hours),Joseph Mauriello,Wednesday 7:00pm - 9:45pm JSOM 2.107,25s
25SFull,ACCT 6384.501,Analytical Reviews Using Audit Software  (3 Semester Credit Hours),Jeffrey Kromer,Monday 7:00pm - 9:45pm JSOM 11.202,25s
25SOpen,ACCT 6388.0w1,Accounting Communications  (3 Semester Credit Hours),Mary Beth Goodrich,Tuesday 4:00pm - 6:45pm No Meeting Room,25s
25SOpen,ACCT 7334.001,Survey of Accounting Research  Corporate Compliance  Debt Contracting  and Financial Intermediation  (3 Semester Credit Hours),"Naim Bugra Ozel,Maria Loumioti",Tuesday 1:00pm - 3:45pm JSOM 2.112,25s
25UOpen,ACCT 6202.0w1,Accounting for Managerial Decision Making and Control  (2 Semester Credit Hours),Surya Janakiraman,No Meeting Room,25u
25UOpen,ACCT 6301.5u1,Financial Accounting  (3 Semester Credit Hours),Gregory Ballew,Tuesday 6:00pm - 9:45pm JSOM 2.714,25u
25UOpen,ACCT 6305.0w1,Accounting for Managers  (3 Semester Credit Hours),Surya Janakiraman,No Meeting Room,25u
25UOpen,ACCT 6313.5u1,Cybersecurity Fundamentals  (3 Semester Credit Hours),Tejas Shroff,Tuesday 6:00pm - 9:45pm JSOM 2.717,25u
25UOpen,ACCT 6330.0w1,Intermediate Financial Accounting I  (3 Semester Credit Hours),William Cready,No Meeting Room,25u
25UOpen,ACCT 6338.0w1,Advanced Accounting Systems Integration and Configuration  (3 Semester Credit Hours),Mary Beth Goodrich,No Meeting Room,25u
25UOpen,ACCT 6340.0w1,System Analysis and Project Management  (3 Semester Credit Hours),Srinivasan Raghunathan,No Meeting Room,25u
25UOpen,ACCT 6341.0w1,Planning  Control and Performance Evaluation  (3 Semester Credit Hours),Mary Beth Goodrich,No Meeting Room,25u
25UOpen,ACCT 6344.0w1,Financial Statement Analysis  (3 Semester Credit Hours),Umit Gurun,No Meeting Room,25u
25UOpen,ACCT 6365.5u1,Governmental and Not-For-Profit Accounting  (3 Semester Credit Hours),Samuel Cheng,Thursday 6:00pm - 10:30pm JSOM 11.210,25u
25UOpen,ACCT 6367.5u1,Multijurisdictional Taxation  (3 Semester Credit Hours),"Sandy Frost,Dave Hanna",Monday 6:00pm - 9:45pm SOM 1.102,25u
25UFull,ACCT 6374.5w1,Advanced Data Analytics for Accountants and Auditors  (3 Semester Credit Hours),Jeffrey Kromer,Monday 6:00pm - 9:45pm No Meeting Room,25u
25UOpen,ACCT 6377.5u1,Corporate Governance  (3 Semester Credit Hours),Gregory Ballew,Wednesday 6:00pm - 9:45pm JSOM 2.106,25u
25UOpen,ACCT 6392.5u1,Advanced Auditing  (3 Semester Credit Hours),Christopher Hes,Tuesday 6:00pm - 9:45pm JSOM 2.106,25u
25FOpen,ACCT 6202.0w1,Accounting for Managerial Decision Making and Control  (2 Semester Credit Hours),Surya Janakiraman,No Meeting Room,25f
25FOpen,ACCT 6301.001,Financial Accounting  (3 Semester Credit Hours),Ningzhong Li,Wednesday 10:00am - 12:45pm JSOM 2.106,25f
25FOpen,ACCT 6301.0w1,Financial Accounting  (3 Semester Credit Hours),Ashiq Ali,No Meeting Room,25f
25FOpen,ACCT 6301.501,Financial Accounting  (3 Semester Credit Hours),Ningzhong Li,Tuesday 7:00pm - 9:45pm JSOM 2.717,25f
25FOpen,ACCT 6305.001,Accounting for Managers  (3 Semester Credit Hours),Matthew Paske,Tuesday 10:00am - 12:45pm JSOM 1.212,25f
25FOpen,ACCT 6305.501,Accounting for Managers  (3 Semester Credit Hours),Surya Janakiraman,Wednesday 7:00pm - 9:45pm JSOM 11.202,25f
25FOpen,ACCT 6309.001,Business Data Warehousing  (3 Semester Credit Hours),Atanu Lahiri,Friday 4:00pm - 6:45pm SOM 1.102,25f
25FOpen,ACCT 6309.0w1,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,No Meeting Room,25f
25FOpen,ACCT 6313.001,Cybersecurity Fundamentals  (3 Semester Credit Hours),Atanu Lahiri,Monday 4:00pm - 6:45pm JSOM 1.110,25f
25FOpen,ACCT 6313.501,Cybersecurity Fundamentals  (3 Semester Credit Hours),Atanu Lahiri,Monday 7:00pm - 9:45pm JSOM 1.110,25f
25FOpen,ACCT 6320.0w1,Database Foundations  (3 Semester Credit Hours),Huseyin Cavusoglu,No Meeting Room,25f
25FOpen,ACCT 6330.501,Intermediate Financial Accounting I  (3 Semester Credit Hours),William Cready,Thursday 7:00pm - 9:45pm JSOM 1.217,25f
25FOpen,ACCT 6331.501,Cost Accounting with Integrated Data Analytics  (3 Semester Credit Hours),Surya Janakiraman,Monday 7:00pm - 9:45pm JSOM 12.210,25f
25FOpen,ACCT 6332.5w1,Intermediate Financial Accounting II  (3 Semester Credit Hours),Kathy Zolton,Monday & Wednesday 5:30pm - 6:45pm No Meeting Room,25f
25FOpen,ACCT 6333.501,Advanced Financial Reporting  (3 Semester Credit Hours),Kathy Zolton,Monday 7:00pm - 9:45pm JSOM 11.210,25f
25FOpen,ACCT 6334.501,Auditing  (3 Semester Credit Hours),Matthew Paske,Monday 7:00pm - 9:45pm JSOM 11.202,25f
25FOpen,ACCT 6335.0w1,Ethics for Professional Accountants  (3 Semester Credit Hours),Tiffany Bortz,No Meeting Room,25f
25FOpen,ACCT 6336.501,Information Technology Audit and Risk Management  (3 Semester Credit Hours),Joseph Mauriello,Thursday 7:00pm - 9:45pm JSOM 2.801,25f
25FOpen,ACCT 6340.001,System Analysis and Project Management  (3 Semester Credit Hours),K. Srikanth,Monday 1:00pm - 3:45pm JSOM 2.717,25f
25FOpen,ACCT 6340.002,System Analysis and Project Management  (3 Semester Credit Hours),Jeffrey Baker,Tuesday 10:00am - 12:45pm SOM 1.102,25f
25FFull,ACCT 6340.0w1,System Analysis and Project Management  (3 Semester Credit Hours),Srinivasan Raghunathan,No Meeting Room,25f
25FOpen,ACCT 6341.0w1,Planning  Control and Performance Evaluation  (3 Semester Credit Hours),Mary Beth Goodrich,No Meeting Room,25f
25FOpen,ACCT 6344.0w1,Financial Statement Analysis  (3 Semester Credit Hours),Umit Gurun,No Meeting Room,25f
25FOpen,ACCT 6345.5w1,Business Valuation  (3 Semester Credit Hours),Surya Janakiraman,Thursday 7:00pm - 9:45pm No Meeting Room,25f
25FOpen,ACCT 6350.501,Fundamentals of Taxation I  (3 Semester Credit Hours),Steven Solcher,Tuesday 7:00pm - 9:45pm JSOM 2.801,25f
25FOpen,ACCT 6353.501,Fundamentals of Taxation II  (3 Semester Credit Hours),Steven Solcher,Wednesday 7:00pm - 9:45pm JSOM 11.206,25f
25FOpen,ACCT 6354.501,Taxation and Planning of Pass-through Entities  (3 Semester Credit Hours),Dave Hanna,Monday 7:00pm - 9:45pm JSOM 2.801,25f
25FOpen,ACCT 6374.001,Advanced Data Analytics and AI for Accountants and Auditors  (3 Semester Credit Hours),Joseph Mauriello,Thursday 4:00pm - 6:45pm JSOM 1.110,25f
25FOpen,ACCT 6380.501,Internal Audit  (3 Semester Credit Hours),Joseph Mauriello,Wednesday 7:00pm - 9:45pm JSOM 2.901,25f
25FOpen,ACCT 6383.501,Fraud Examination  (3 Semester Credit Hours),Dana Bracy,Tuesday 7:00pm - 9:45pm JSOM 2.903,25f
25FOpen,ACCT 6386.001,Governance  Risk Management and Compliance  (3 Semester Credit Hours),Joseph Mauriello,Tuesday 4:00pm - 6:45pm JSOM 12.214,25f
25FOpen,ACCT 6392.501,Advanced Auditing  (3 Semester Credit Hours),Joseph Mauriello,Tuesday 7:00pm - 9:45pm JSOM 12.214,25f
25FOpen,ACCT 7210.001,PhD Workshop Series  (2 Semester Credit Hours),Stanimir Markov,Friday 10:00am - 11:50am JSOM 11.305,25f
25FOpen,ACCT 7323.001,Foundations of Accounting Research  (3 Semester Credit Hours),"Suresh Radhakrishnan,William Cready",Monday 1:00pm - 3:45pm JSOM 1.801,25f
25FOpen,ACCT 7324.001,Capital Markets Research in Accounting  Asset Pricing Topics and Information Intermediaries  - Info Intermd & Corp Disc. (3 Semester Credit Hours),"Umit Gurun,Gil Sadka",Tuesday 1:00pm - 3:45pm JSOM 13.510,25f
26SOpen,ACCT 6202.501,Accounting for Managerial Decision Making and Control  (2 Semester Credit Hours),Jeffrey Kromer,Monday 7:00pm - 8:50pm JSOM 2.901,26s
26SFull,ACCT 6301.0w1,Financial Accounting  (3 Semester Credit Hours),Ashiq Ali,No Meeting Room,26s
26SOpen,ACCT 6301.501,Financial Accounting  (3 Semester Credit Hours),Samuel Cheng,Monday 7:00pm - 9:45pm GR 2.302,26s
26SOpen,ACCT 6305.501,Accounting for Managers  (3 Semester Credit Hours),Zhonglan Dai,Thursday 7:00pm - 9:45pm JSOM 2.106,26s
26SOpen,ACCT 6309.001,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,Thursday 1:00pm - 3:45pm JSOM 2.112,26s
26SOpen,ACCT 6309.0w1,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,No Meeting Room,26s
26SFull,ACCT 6313.0w1,Cybersecurity Fundamentals  (3 Semester Credit Hours),Huseyin Cavusoglu,No Meeting Room,26s
26SOpen,ACCT 6313.501,Cybersecurity Fundamentals  (3 Semester Credit Hours),Alex Ivaschenko,Friday 7:00pm - 9:45pm JSOM 2.717,26s
26SOpen,ACCT 6330.501,Intermediate Financial Accounting I  (3 Semester Credit Hours),William Cready,Monday 7:00pm - 9:45pm JSOM 2.722,26s
