School,School_Code,Professor_Name,Title,Department,Profile_URL,RMP_URL,Research_Areas,Tags
Erik Jonsson School of Engineering and Computer Science,ECS,Fatemeh Hassanipour,Associate Professor,Mechanical Engineering,https://profiles.utdallas.edu/fatemeh,https://www.ratemyprofessors.com/search/professors/1273?q=Fatemeh%20Hassanipour,,Mechanical Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Heather Hayenga,Assistant Professor,Bioengineering,https://profiles.utdallas.edu/heather.hayenga,https://www.ratemyprofessors.com/search/professors/1273?q=Heather%20Hayenga,,Bioengineering
Erik Jonsson School of Engineering and Computer Science,ECS,Seth Hays,Professor,Bioengineering,https://profiles.utdallas.edu/seth.hays,https://www.ratemyprofessors.com/search/professors/1273?q=Seth%20Hays,,Bioengineering
Erik Jonsson School of Engineering and Computer Science,ECS,Liang He,Assistant Professor,Computer Science,https://profiles.utdallas.edu/liang.he,https://www.ratemyprofessors.com/search/professors/1273?q=Liang%20He,,Fabrication | HCI | Making | Physical Intelligence
Erik Jonsson School of Engineering and Computer Science,ECS,Matthew Heins,"Associate Professor of Instruction, Electrical Engineering",,https://profiles.utdallas.edu/matthew.heins,https://www.ratemyprofessors.com/search/professors/1273?q=Matthew%20Heins,,
Erik Jonsson School of Engineering and Computer Science,ECS,Charles Helms,Professor,Electrical Engineering,https://profiles.utdallas.edu/robert.helms,https://www.ratemyprofessors.com/search/professors/1273?q=Charles%20Helms,,Electrical Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Rashaunda Henderson,Professor,Electrical Engineering,https://profiles.utdallas.edu/rashaunda.henderson,https://www.ratemyprofessors.com/search/professors/1273?q=Rashaunda%20Henderson,"Enabling technologies for microwave and millimeter-wave passive circuits | Accurate measurement and modeling of small value passive components | Radio frequency, microwave and millimeter-wave integrated circuit design | MEMS simulation and characterization | Metamaterial filter design",Electrical Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Soneya Binta Hossain,Assistant Professor,Computer Science,https://profiles.utdallas.edu/sbhossain,https://www.ratemyprofessors.com/search/professors/1273?q=Soneya%20Binta%20Hossain,,
Erik Jonsson School of Engineering and Computer Science,ECS,Julia Hsu,Professor,Materials Science & Engineering,https://profiles.utdallas.edu/jwhsu,https://www.ratemyprofessors.com/search/professors/1273?q=Julia%20Hsu,Electronic and transport properties at the organicinorganic interface | Growth and assembly of semiconductor nanostructures | Nanostructured composites for solar energy harvesting | Development and application of novel nanofabrication techniques | Spatially resolved studies of local electrical and optoelectronic properties,Materials Science and Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Wenchuang (Walter) Hu,Professor,Electrical Engineering,https://profiles.utdallas.edu/walter.hu,https://www.ratemyprofessors.com/search/professors/1273?q=Wenchuang%20%28Walter%29%20Hu,"Nanolithography, Nanofabrication of low dimensional nanostructures | Si NanoWire Bio-sensor for environmental monitoring and disease early diagnostics | Nanostructured Biomaterials for Nanomedicine and Tissue Engineering | Nanostructured Organic Electronics: OFETs and solar cells | Micro-, Nanofluidics, Nanoelectronic-Mechanical Systems.",Electrical Engineering | Mechanical Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Yang Hu,Assistant Professor,Electrical Engineering,https://profiles.utdallas.edu/yang.hu4,https://www.ratemyprofessors.com/search/professors/1273?q=Yang%20Hu,,Electrical Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Dung Huynh,Professor,Computer Science,https://profiles.utdallas.edu/huynh,https://www.ratemyprofessors.com/search/professors/1273?q=Dung%20Huynh,"Computational complexity theory | Automata and formal languages | Concurrency
theory | Communications networks and protocols | Parallel computation | Software metrics",Computer Science
Erik Jonsson School of Engineering and Computer Science,ECS,Mohamed Ibrahim,Assistant Professor,Electrical & Computer Engr,https://profiles.utdallas.edu/mibrahim,https://www.ratemyprofessors.com/search/professors/1273?q=Mohamed%20Ibrahim,Brain-inspired computing & embodied intelligence | Embedded cyber-physical integration | Hardware-software co-design | Domain-specific architectures | VLSI design and CAD,Computer Engineering | Cyber-Physical Systems | Artificial Intelligence / Machine Learning | Brain-Inspired Computing | Hardware-Software Codesign | Domain-Specific Architectures | VLSI Design & CAD
Erik Jonsson School of Engineering and Computer Science,ECS,Giacomo Valerio Iungo,Associate Professor,Mechanical Engineering,https://profiles.utdallas.edu/valerio.iungo,https://www.ratemyprofessors.com/search/professors/1273?q=Giacomo%20Valerio%20Iungo,Experimental fluid mechanics; | Power harvesting from turbulent flows; | Wind LiDAR technology; | Subsonic wind tunnel design; | Wake instability; | Vortex dynamics; | Bluff body aerodynamics; | Road vehicle aerodynamics; | Signal processing and time-frequency analysis.,Mechanical Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Rishabh Iyer,Faculty Guest,Computer Science,https://profiles.utdallas.edu/rishabh.iyer,https://www.ratemyprofessors.com/search/professors/1273?q=Rishabh%20Iyer,,
Erik Jonsson School of Engineering and Computer Science,ECS,Wafa Jaffal,Assist. Prof. of Instruction,Computer Science,https://profiles.utdallas.edu/wafa.jaffal,https://www.ratemyprofessors.com/search/professors/1273?q=Wafa%20Jaffal,,
Erik Jonsson School of Engineering and Computer Science,ECS,Kangkook Jee,Assistant Professor,Computer Science,https://profiles.utdallas.edu/kangkook.jee,https://www.ratemyprofessors.com/search/professors/1273?q=Kangkook%20Jee,,
Erik Jonsson School of Engineering and Computer Science,ECS,Yaqing Jin,Assistant Professor,Mechanical Engineering,https://profiles.utdallas.edu/yaqing.jin,https://www.ratemyprofessors.com/search/professors/1273?q=Yaqing%20Jin,,
